material_id,pretty_formula,cif,tc
YFe2,YFe2,"# generated using pymatgen
data_YFe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.15612507
_cell_length_b   5.15612507
_cell_length_c   5.15612507
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YFe2
_chemical_formula_sum   'Y2 Fe4'
_cell_volume   96.92935707
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.37500000  0.87500000  0.37500000  1
  Fe  Fe1  1  0.37500000  0.37500000  0.87500000  1
  Fe  Fe2  1  0.87500000  0.37500000  0.37500000  1
  Fe  Fe3  1  0.37500000  0.37500000  0.37500000  1
  Y  Y4  1  0.00000000  0.00000000  0.00000000  1
  Y  Y5  1  0.75000000  0.75000000  0.75000000  1
",541
GdFe2,GdFe2,"# generated using pymatgen
data_GdFe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.17738353
_cell_length_b   5.17738353
_cell_length_c   5.17738353
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdFe2
_chemical_formula_sum   'Gd2 Fe4'
_cell_volume   98.13321237
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.37500000  0.87500000  0.37500000  1
  Fe  Fe1  1  0.37500000  0.37500000  0.87500000  1
  Fe  Fe2  1  0.87500000  0.37500000  0.37500000  1
  Fe  Fe3  1  0.37500000  0.37500000  0.37500000  1
  Gd  Gd4  1  0.00000000  0.00000000  0.00000000  1
  Gd  Gd5  1  0.75000000  0.75000000  0.75000000  1
",793
GdCo2,GdCo2,"# generated using pymatgen
data_GdCo2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.12588266
_cell_length_b   5.12588266
_cell_length_c   5.12588266
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdCo2
_chemical_formula_sum   'Gd2 Co4'
_cell_volume   95.23377128
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Co  Co0  1  0.37500000  0.87500000  0.37500000  1
  Co  Co1  1  0.37500000  0.37500000  0.87500000  1
  Co  Co2  1  0.87500000  0.37500000  0.37500000  1
  Co  Co3  1  0.37500000  0.37500000  0.37500000  1
  Gd  Gd4  1  0.00000000  0.00000000  0.00000000  1
  Gd  Gd5  1  0.75000000  0.75000000  0.75000000  1
",400
GdAl2,GdAl2,"# generated using pymatgen
data_GdAl2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.59617176
_cell_length_b   5.59617176
_cell_length_c   5.59617176
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdAl2
_chemical_formula_sum   'Gd2 Al4'
_cell_volume   123.92476639
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.37500000  0.87500000  0.37500000  1
  Al  Al1  1  0.37500000  0.37500000  0.87500000  1
  Al  Al2  1  0.87500000  0.37500000  0.37500000  1
  Al  Al3  1  0.37500000  0.37500000  0.37500000  1
  Gd  Gd4  1  0.00000000  0.00000000  0.00000000  1
  Gd  Gd5  1  0.75000000  0.75000000  0.75000000  1
",164
TbFe2,TbFe2,"# generated using pymatgen
data_TbFe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.16219911
_cell_length_b   5.16219911
_cell_length_c   5.16219911
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbFe2
_chemical_formula_sum   'Tb2 Fe4'
_cell_volume   97.27231615
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.37500000  0.87500000  0.37500000  1
  Fe  Fe1  1  0.37500000  0.37500000  0.87500000  1
  Fe  Fe2  1  0.87500000  0.37500000  0.37500000  1
  Fe  Fe3  1  0.37500000  0.37500000  0.37500000  1
  Tb  Tb4  1  0.00000000  0.00000000  0.00000000  1
  Tb  Tb5  1  0.75000000  0.75000000  0.75000000  1
",653
TbCo2,TbCo2,"# generated using pymatgen
data_TbCo2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.08109680
_cell_length_b   5.08109680
_cell_length_c   5.08109680
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbCo2
_chemical_formula_sum   'Tb2 Co4'
_cell_volume   92.75928842
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Co  Co0  1  0.37500000  0.87500000  0.37500000  1
  Co  Co1  1  0.37500000  0.37500000  0.87500000  1
  Co  Co2  1  0.87500000  0.37500000  0.37500000  1
  Co  Co3  1  0.37500000  0.37500000  0.37500000  1
  Tb  Tb4  1  0.00000000  0.00000000  0.00000000  1
  Tb  Tb5  1  0.75000000  0.75000000  0.75000000  1
",235
TbAl2,TbAl2,"# generated using pymatgen
data_TbAl2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.57988285
_cell_length_b   5.57988285
_cell_length_c   5.57988285
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbAl2
_chemical_formula_sum   'Tb2 Al4'
_cell_volume   122.84578084
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.37500000  0.87500000  0.37500000  1
  Al  Al1  1  0.37500000  0.37500000  0.87500000  1
  Al  Al2  1  0.87500000  0.37500000  0.37500000  1
  Al  Al3  1  0.37500000  0.37500000  0.37500000  1
  Tb  Tb4  1  0.00000000  0.00000000  0.00000000  1
  Tb  Tb5  1  0.75000000  0.75000000  0.75000000  1
",109
DyFe2,DyFe2,"# generated using pymatgen
data_DyFe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.13673479
_cell_length_b   5.13673479
_cell_length_c   5.13673479
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyFe2
_chemical_formula_sum   'Dy2 Fe4'
_cell_volume   95.83991792
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.00000000  0.00000000  0.00000000  1
  Dy  Dy1  1  0.75000000  0.75000000  0.75000000  1
  Fe  Fe2  1  0.37500000  0.87500000  0.37500000  1
  Fe  Fe3  1  0.37500000  0.37500000  0.87500000  1
  Fe  Fe4  1  0.87500000  0.37500000  0.37500000  1
  Fe  Fe5  1  0.37500000  0.37500000  0.37500000  1
",628
DyCo2,DyCo2,"# generated using pymatgen
data_DyCo2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.06774521
_cell_length_b   5.06774521
_cell_length_c   5.06774521
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyCo2
_chemical_formula_sum   'Dy2 Co4'
_cell_volume   92.02997788
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Co  Co0  1  0.37500000  0.87500000  0.37500000  1
  Co  Co1  1  0.37500000  0.37500000  0.87500000  1
  Co  Co2  1  0.87500000  0.37500000  0.37500000  1
  Co  Co3  1  0.37500000  0.37500000  0.37500000  1
  Dy  Dy4  1  0.00000000  0.00000000  0.00000000  1
  Dy  Dy5  1  0.75000000  0.75000000  0.75000000  1
",150
DyAl2,DyAl2,"# generated using pymatgen
data_DyAl2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.56212033
_cell_length_b   5.56212033
_cell_length_c   5.56212033
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyAl2
_chemical_formula_sum   'Dy2 Al4'
_cell_volume   121.67634131
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.37500000  0.87500000  0.37500000  1
  Al  Al1  1  0.37500000  0.37500000  0.87500000  1
  Al  Al2  1  0.87500000  0.37500000  0.37500000  1
  Al  Al3  1  0.37500000  0.37500000  0.37500000  1
  Dy  Dy4  1  0.00000000  0.00000000  0.00000000  1
  Dy  Dy5  1  0.75000000  0.75000000  0.75000000  1
",58
